Name,Type,Detection Method,Mass<br>(M<sub>E</sub>),Flux<br>(S<sub>E</sub>),<i>T<sub>surf</sub></i><br>(K),Period<br>(days),Age<br>(Gy),ESI,Star,P_DISCOVERY_FACILITY,P_YEAR,P_RADIUS,S_RA,S_DEC,S_DISTANCE
TOI-904 c,M Warm Superterran,Transit,5.34,0.524433966115432,244.820749984383,83.9997,1.5,0.6586031849107203,TOI-904,Transiting Exoplanet Survey Satellite (TESS),2023,2.167,89.371273,-83.129726,46.0891
TOI-700 e,M Warm Terran,Transit,0.818,1.278049313841024,305.6881109516861,27.80978,1.5,0.9120318593055377,TOI-700,Transiting Exoplanet Survey Satellite (TESS),2023,0.953,97.095716,-65.578615,31.1265
TOI-700 d,M Warm Terran,Transit,1.25,0.8598268771328632,276.9392586198363,37.42396,1.5,0.941175919741845,TOI-700,Transiting Exoplanet Survey Satellite (TESS),2020,1.073,97.095716,-65.578615,31.1265
GJ 357 d,M Warm Superterran,Radial Velocity,6.1,0.3825953304140644,226.2613829674902,55.661,,0.5755175196683111,GJ 357,Multiple Observatories,2019,2.34,144.00746,-21.665063,9.44181
GJ 3293 d,M Warm Superterran,Radial Velocity,7.6,0.5885926980570722,251.3040314294288,48.1345,,0.6297766025524363,GJ 3293,La Silla Observatory,2017,2.67,67.148443,-25.17134,20.1903
GJ 180 c,M Warm Superterran,Radial Velocity,6.4,0.7844885952402295,270.3400124979786,24.329,,0.695402745630364,GJ 180,Multiple Observatories,2014,2.41,73.460097,-17.776194,11.9407
GJ 433 d,M Warm Superterran,Radial Velocity,5.223,1.059806630466422,291.6300979381335,36.059,,0.742460049806399,GJ 433,Multiple Facilities,2020,2.14,173.86192,-32.54363,9.06456
LP 890-9 c,M Warm Terran,Transit,25.3,0.9085761668189248,280.876791941365,8.457463,7.2,0.8852510892201346,LP 890-9,SPECULOOS Southern Observatory,2022,1.367,64.13091,-28.315791,32.4298
LHS 1140 b,M Warm Superterran,Transit,5.6,0.4252257972722254,232.2361055269197,24.73723,5.0,0.6578433889794666,LHS 1140,MEarth Project,2017,1.73,11.248632,-15.274109,14.9861
Teegarden's Star b,M Warm Terran,Radial Velocity,1.16,1.077943485815514,293.0901371164898,4.90634,8.0,0.9683623820823888,Teegarden/'s Star,Calar Alto Observatory,2019,1.05,43.269145,16.864902,3.83078
Teegarden's Star c,M Warm Terran,Radial Velocity,1.05,0.3494016250358681,221.1191594435956,11.416,8.0,0.6590047778475818,Teegarden/'s Star,Calar Alto Observatory,2019,1.02,43.269145,16.864902,3.83078
Kepler-705 b,M Warm Superterran,Transit,5.1,0.7656389697854677,269.1110486603185,56.0560538,3.89,0.7307367120077792,Kepler-705,Kepler,2016,2.11,289.50856,41.812023,276.881
Kepler-452 b,G Warm Superterran,Transit,3.29,1.10901298442302,295.2294508896408,384.843,6.0,0.826718498030897,Kepler-452,Kepler,2015,1.63,296.00375,44.277586,551.727
Kepler-1649 c,M Warm Terran,Transit,1.2,1.226056845240327,302.7284049431404,19.53527,,0.9252978951868612,Kepler-1649,Kepler,2020,1.06,292.50297,41.829993,92.1913
K2-9 b,M Warm Superterran,Transit,5.69,1.448495716881269,315.6129574939447,18.4498,1.0,0.6987684043607543,K2-9,K2,2015,2.25,176.26372,0.0054085,82.9631
GJ 367 d,M Warm Superterran,Radial Velocity,6.03,1.145208998867472,296.5086154194831,34.369,,0.7135547188279516,GJ 367,La Silla Observatory,2023,2.33,146.12146,-45.779016,9.41263
Kepler-1544 b,K Warm Superterran,Transit,3.82,0.8430264200825404,275.6676584946736,168.811174,2.34,0.7926635120647971,Kepler-1544,Kepler,2016,1.78,297.28522,49.212453,335.09
Kepler-1410 b,K Warm Superterran,Transit,3.82,1.074749569054105,292.9222362087997,60.866168,4.07,0.7999741710157133,Kepler-1410,Kepler,2016,1.78,290.51029,38.743501,367.0
Kepler-1540 b,K Warm Superterran,Transit,6.76,0.7762063312630189,270.0348497102646,125.4131177,2.51,0.6852401430455627,Kepler-1540,Kepler,2016,2.49,283.34456,41.201754,244.96
Kepler-1606 b,G Warm Superterran,Transit,4.94,1.636042797144682,325.3675117613493,196.435224,4.27,0.7002538666326197,Kepler-1606,Kepler,2016,2.07,286.3783,43.073229,831.287
Kepler-1653 b,K Warm Superterran,Transit,5.35,1.043989556683339,290.8034533879476,140.2524,7.7,0.7385740715642647,Kepler-1653,Kepler,2017,2.17,296.4577,41.266021,755.0
HD 216520 c,K Warm Superterran,Radial Velocity,9.44,1.276091475504485,304.9412596785313,154.43,6.0,0.6336328430066284,HD 216520,Multiple Observatories,2020,3.03,341.87687,83.697531,19.552
Kepler-296 f,M Warm Superterran,Transit,3.89,0.4394975083841701,229.2765211254743,63.33627,4.2,0.6584999747490459,Kepler-296,Kepler,2014,1.8,286.54003,49.437261,167.0
